group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,1.0,90,1027.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,91,2303.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,92,834.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,93,831.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,94,1080.0,1.0,1.0,ABA
BI_C_Digit,9.0,1.0,95,1459.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,96,1786.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,97,1546.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,98,737.0,0.0,3.0,ABA
BI_C_Digit,9.0,1.0,99,1368.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,100,795.0,1.0,3.0,ABA
BI_C_Digit,9.0,1.0,101,755.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,102,583.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,103,1828.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,104,925.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,105,945.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,106,1252.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,107,1068.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,108,628.0,0.0,1.0,CBA
BI_C_Digit,9.0,1.0,109,584.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,110,1346.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,111,1051.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,112,735.0,1.0,1.0,CBA
BI_C_Digit,9.0,1.0,113,2350.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,114,1504.0,1.0,2.0,CBA
BI_C_Digit,9.0,1.0,115,734.0,0.0,1.0,CBA
BI_C_Digit,9.0,1.0,116,675.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,117,972.0,1.0,3.0,CBA
BI_C_Digit,9.0,1.0,118,1453.0,1.0,2.0,ABA
BI_C_Digit,9.0,1.0,119,2208.0,1.0,3.0,ABA
