rt,trial_index,subjectHandedness,subjectAge,subjectGender,key_press,correct_choice,coherent_movement_direction,coherence_movement,coherence_orientation,task,block,subject_id,accuracy,moving_up,moving_down,pointing_up,pointing_down
986.00000000003,136,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1046.0,139,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
958.00000000003,142,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1126.0,145,r,34,f,74.0,j,270.0,30.0,23.076923076923077,movement,1.0,1,1,70.0,30.0,23.076923076923077,23.076923076923077
980.0,148,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
990.0,151,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
935.0,154,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
940.0,157,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
853.0,160,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
953.0,163,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1158.0,166,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1206.0,169,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1195.0,172,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1380.0,175,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1160.0,178,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1184.0,181,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1158.0,184,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1119.0,187,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
918.99999999997,190,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
990.0,193,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1465.0,196,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
1203.0,199,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1159.0,202,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1290.0,205,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1400.0,208,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1161.0,211,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1103.0,214,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1428.0,217,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1080.0,220,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1621.0,223,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1268.0,226,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1300.0,229,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1201.0,232,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
959.0,235,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
1341.0,238,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1324.0,241,r,34,f,74.0,j,270.0,65.0,50.0,movement,1.0,1,1,35.0,65.0,50.0,50.0
1186.0,244,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1345.0,247,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1165.0,250,r,34,f,70.0,f,90.0,30.0,23.076923076923077,movement,1.0,1,1,30.0,70.0,23.076923076923077,23.076923076923077
1288.0,253,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
1172.0,256,r,34,f,70.0,j,270.0,65.0,50.0,movement,1.0,1,0,35.0,65.0,50.0,50.0
1687.0,259,r,34,f,74.0,j,270.0,30.0,23.076923076923077,movement,1.0,1,1,70.0,30.0,23.076923076923077,23.076923076923077
1009.0,262,r,34,f,70.0,f,90.0,65.0,50.0,movement,1.0,1,1,65.0,35.0,50.0,50.0
1197.0,265,r,34,f,74.0,f,90.0,65.0,50.0,movement,1.0,1,0,65.0,35.0,50.0,50.0
1766.0,269,r,34,f,74.0,j,270.0,60.0,75.0,movement,2.0,1,1,40.0,60.0,25.0,75.0
1310.0,272,r,34,f,74.0,j,270.0,60.0,100.0,movement,2.0,1,1,40.0,60.0,0.0,100.0
1017.0,275,r,34,f,70.0,f,90.0,90.0,75.0,movement,2.0,1,1,90.0,10.0,75.0,25.0
1640.0,278,r,34,f,70.0,j,270.0,60.0,0.0,movement,2.0,1,0,40.0,60.0,100.0,0.0
898.0,281,r,34,f,74.0,j,270.0,90.0,25.0,movement,2.0,1,1,10.0,90.0,75.0,25.0
1063.0,284,r,34,f,70.0,f,90.0,60.0,75.0,movement,2.0,1,1,60.0,40.0,75.0,25.0
900.0,287,r,34,f,70.0,f,90.0,75.0,0.0,movement,2.0,1,1,75.0,25.0,0.0,100.0
1007.0,290,r,34,f,70.0,f,90.0,90.0,0.0,movement,2.0,1,1,90.0,10.0,0.0,100.0
1248.0,293,r,34,f,70.0,f,90.0,60.0,100.0,movement,2.0,1,1,60.0,40.0,100.0,0.0
1163.0,296,r,34,f,70.0,j,270.0,60.0,25.0,movement,2.0,1,0,40.0,60.0,75.0,25.0
947.0,299,r,34,f,70.0,f,90.0,90.0,25.0,movement,2.0,1,1,90.0,10.0,25.0,75.0
885.00000000003,302,r,34,f,74.0,j,270.0,75.0,75.0,movement,2.0,1,1,25.0,75.0,25.0,75.0
927.00000000003,305,r,34,f,74.0,j,270.0,75.0,100.0,movement,2.0,1,1,25.0,75.0,0.0,100.0
981.0,308,r,34,f,74.0,j,270.0,90.0,75.0,movement,2.0,1,1,10.0,90.0,25.0,75.0
1152.0,311,r,34,f,70.0,f,90.0,75.0,25.0,movement,2.0,1,1,75.0,25.0,25.0,75.0
1308.0,314,r,34,f,74.0,j,270.0,75.0,0.0,movement,2.0,1,1,25.0,75.0,100.0,0.0
1048.0,317,r,34,f,74.0,j,270.0,75.0,25.0,movement,2.0,1,1,25.0,75.0,75.0,25.0
962.99999999997,320,r,34,f,70.0,f,90.0,75.0,100.0,movement,2.0,1,1,75.0,25.0,100.0,0.0
