subjectid,block,blocktype,trial,latency1,accuracy1,latency2,accuracy2,SOA,taskpair,RT1_SOAdif,T1,T2,T1T2sequence,S1,S2,R1beforeS1onset,R2beforeS2onset
21,2,2,39,828,1,915,1,1000,2,-172.0,2,2,1,1,8,0,0
21,2,2,40,654,1,701,1,1000,1,-346.0,1,2,2,E,8,0,0
21,2,2,41,752,1,1202,1,50,2,602.0,2,2,1,9,1,0,0
21,2,2,42,1135,0,2169,1,50,1,985.0,1,2,2,K,3,0,0
21,2,2,43,1079,1,1596,1,50,3,929.0,1,1,1,R,U,0,0
21,2,2,44,1462,1,1679,1,450,1,1012.0,1,2,2,R,6,0,0
21,2,2,45,1248,1,983,1,2000,4,-752.0,2,1,2,6,G,0,0
21,2,2,46,1382,1,1818,1,450,4,932.0,2,1,2,4,R,0,0
21,2,2,47,562,1,929,0,2000,2,-1438.0,2,2,1,3,1,0,0
21,2,2,48,788,1,1020,0,2000,3,-1212.0,1,1,1,E,K,0,0
21,2,2,49,747,1,882,1,2000,1,-1253.0,1,2,2,I,4,0,0
21,2,2,50,701,1,1342,1,50,2,551.0,2,2,1,1,3,0,0
21,2,2,51,759,1,943,1,1000,4,-241.0,2,1,2,4,G,0,0
21,2,2,52,791,1,1012,1,450,3,341.0,1,1,1,A,K,0,0
21,2,2,53,834,1,1543,1,450,4,384.0,2,1,2,2,E,0,0
21,2,2,54,1056,1,1539,0,450,1,606.0,1,2,2,U,1,0,0
21,2,2,55,2174,0,11940,0,1000,3,1174.0,1,1,1,E,I,0,0
21,2,2,56,1937,1,1828,1,1000,4,937.0,2,1,2,8,R,0,0
21,2,2,57,735,1,711,1,2000,1,-1265.0,1,2,2,U,3,0,0
21,2,2,58,817,1,1048,1,2000,4,-1183.0,2,1,2,8,U,0,0
21,2,2,59,846,1,813,1,1000,2,-154.0,2,2,1,9,7,0,0
21,2,2,60,756,1,1450,1,50,4,606.0,2,1,2,9,K,0,0
21,2,2,61,707,1,1081,1,1000,4,-293.0,2,1,2,1,U,0,0
21,2,2,62,2564,1,3011,1,50,4,2414.0,2,1,2,4,E,0,0
21,2,2,63,972,1,691,1,2000,3,-1028.0,1,1,1,I,A,0,0
21,2,2,64,1111,1,936,1,1000,3,111.0,1,1,1,K,A,0,0
21,2,2,65,2720,0,4378,0,2000,2,720.0,2,2,1,8,3,0,0
21,3,2,1,3241,1,3364,1,450,2,2791.0,2,2,1,6,7,0,0
21,3,2,2,975,1,1200,1,50,2,825.0,2,2,1,6,9,0,0
21,3,2,3,872,1,839,1,2000,4,-1128.0,2,1,2,6,K,0,0
21,3,2,4,708,1,1005,1,50,3,558.0,1,1,1,U,I,0,0
21,3,2,5,1852,1,1589,1,1000,2,852.0,2,2,1,4,9,0,0
21,3,2,6,1298,0,1617,1,50,1,1148.0,1,2,2,M,6,0,0
21,3,2,7,984,1,1238,1,450,4,534.0,2,1,2,1,E,0,0
21,3,2,8,1307,1,891,1,2000,4,-693.0,2,1,2,6,U,0,0
21,3,2,9,1309,1,1565,1,1000,1,309.0,1,2,2,K,6,0,0
21,3,2,10,1110,1,1205,1,2000,2,-890.0,2,2,1,1,6,0,0
21,3,2,11,1739,1,1790,1,450,3,1289.0,1,1,1,R,I,0,0
21,3,2,12,769,1,1192,1,2000,1,-1231.0,1,2,2,A,8,0,0
21,3,2,13,1176,0,1224,1,2000,3,-824.0,1,1,1,G,A,0,0
21,3,2,14,758,1,962,1,450,4,308.0,2,1,2,8,E,0,0
21,3,2,15,755,1,1234,1,1000,4,-245.0,2,1,2,7,U,0,0
21,3,2,16,750,1,1099,1,450,2,300.0,2,2,1,4,1,0,0
21,3,2,17,917,1,1454,1,50,3,767.0,1,1,1,K,U,0,0
21,3,2,18,626,1,912,1,450,1,176.0,1,2,2,M,8,0,0
21,3,2,19,825,1,1419,1,50,4,675.0,2,1,2,9,M,0,0
21,3,2,20,745,1,929,1,450,4,295.0,2,1,2,4,A,0,0
21,3,2,21,696,1,704,1,2000,2,-1304.0,2,2,1,1,7,0,0
21,3,2,22,899,1,817,1,1000,2,-101.0,2,2,1,1,2,0,0
21,3,2,23,975,1,1520,1,50,1,825.0,1,2,2,I,8,0,0
21,3,2,24,740,1,899,1,1000,1,-260.0,1,2,2,K,9,0,0
21,3,2,25,1478,1,1750,1,450,1,1028.0,1,2,2,K,2,0,0
21,3,2,26,1140,1,1591,1,450,2,690.0,2,2,1,8,4,0,0
21,3,2,27,824,1,1028,1,450,3,374.0,1,1,1,U,G,0,0
21,3,2,28,1450,1,1827,1,50,2,1300.0,2,2,1,6,1,0,0
21,3,2,29,1241,1,1578,1,50,4,1091.0,2,1,2,2,A,0,0
21,3,2,30,746,1,681,1,2000,4,-1254.0,2,1,2,6,E,0,0
21,3,2,31,837,1,788,1,1000,3,-163.0,1,1,1,U,K,0,0
21,3,2,32,676,1,852,1,1000,4,-324.0,2,1,2,8,M,0,0
21,3,2,33,1425,1,880,1,2000,1,-575.0,1,2,2,M,7,0,0
21,3,2,34,1189,1,645,1,2000,3,-811.0,1,1,1,A,I,0,0
21,3,2,35,754,1,1118,1,50,3,604.0,1,1,1,R,E,0,0
21,3,2,36,686,1,1053,1,1000,3,-314.0,1,1,1,M,G,0,0
21,3,2,37,656,1,731,1,450,3,206.0,1,1,1,R,G,0,0
21,3,2,38,816,1,487,1,2000,2,-1184.0,2,2,1,1,9,0,0
21,3,2,39,1234,1,1404,1,50,2,1084.0,2,2,1,4,2,0,0
21,3,2,40,1498,1,1095,1,1000,1,498.0,1,2,2,G,4,0,0
21,3,2,41,756,1,1042,1,50,4,606.0,2,1,2,4,M,0,0
21,3,2,42,699,0,1985,1,2000,3,-1301.0,1,1,1,A,M,0,0
21,3,2,43,1130,1,1424,1,50,1,980.0,1,2,2,U,8,0,0
21,3,2,44,624,1,756,1,450,3,174.0,1,1,1,G,M,0,0
21,3,2,45,726,1,739,0,450,4,276.0,2,1,2,9,E,0,0
21,3,2,46,1124,1,810,1,1000,2,124.0,2,2,1,3,8,0,0
21,3,2,47,1113,1,1053,1,1000,4,113.0,2,1,2,7,I,0,0
21,3,2,48,734,1,637,1,1000,1,-266.0,1,2,2,U,2,0,0
21,3,2,49,690,1,1198,1,450,1,240.0,1,2,2,R,9,0,0
21,3,2,50,686,1,718,1,450,2,236.0,2,2,1,8,6,0,0
21,3,2,51,676,1,926,1,50,3,526.0,1,1,1,I,G,0,0
21,3,2,52,1374,1,774,1,2000,4,-626.0,2,1,2,2,M,0,0
21,3,2,53,1359,1,766,1,2000,1,-641.0,1,2,2,G,1,0,0
21,3,2,54,743,1,814,1,1000,3,-257.0,1,1,1,K,M,0,0
21,3,2,55,662,1,685,1,1000,2,-338.0,2,2,1,4,8,0,0
21,3,2,56,1088,1,1334,1,50,1,938.0,1,2,2,E,6,0,0
21,3,2,57,700,1,675,1,2000,2,-1300.0,2,2,1,6,2,0,0
21,3,2,58,696,1,895,1,1000,4,-304.0,2,1,2,8,G,0,0
21,3,2,59,977,1,1268,1,50,3,827.0,1,1,1,K,I,0,0
21,3,2,60,696,1,599,1,2000,3,-1304.0,1,1,1,I,K,0,0
21,3,2,61,1446,1,678,1,2000,1,-554.0,1,2,2,K,4,0,0
21,3,2,62,763,1,882,1,1000,1,-237.0,1,2,2,E,7,0,0
21,3,2,63,775,1,695,1,2000,4,-1225.0,2,1,2,7,K,0,0
21,3,2,64,1858,1,2091,1,50,2,1708.0,2,2,1,1,4,0,0
21,3,2,65,1230,1,1031,1,450,2,780.0,2,2,1,7,8,0,0
21,4,2,1,2419,1,2734,1,50,1,2269.0,1,2,2,A,9,0,0
21,4,2,2,742,1,677,1,1000,3,-258.0,1,1,1,U,E,0,0
21,4,2,3,810,1,681,1,2000,2,-1190.0,2,2,1,2,9,0,0
21,4,2,4,645,1,661,0,450,4,195.0,2,1,2,7,A,0,0
21,4,2,5,894,1,1152,1,50,2,744.0,2,2,1,6,4,0,0
21,4,2,6,776,1,678,1,450,3,326.0,1,1,1,E,M,0,0
21,4,2,7,1248,1,1235,1,450,1,798.0,1,2,2,M,3,0,0
21,4,2,8,930,1,1192,1,50,4,780.0,2,1,2,3,G,0,0
21,4,2,9,810,1,785,1,450,4,360.0,2,1,2,2,K,0,0
21,4,2,10,904,0,1216,1,1000,3,-96.0,1,1,1,G,E,0,0
21,4,2,11,1756,1,1948,1,50,4,1606.0,2,1,2,6,M,0,0
21,4,2,12,1231,1,1509,1,50,1,1081.0,1,2,2,R,3,0,0
21,4,2,13,819,1,730,1,1000,2,-181.0,2,2,1,3,9,0,0
21,4,2,14,693,1,780,1,1000,1,-307.0,1,2,2,I,6,0,0
21,4,2,15,1060,1,995,1,450,2,610.0,2,2,1,8,2,0,0
21,4,2,16,942,1,1128,1,50,2,792.0,2,2,1,4,3,0,0
21,4,2,17,802,1,770,1,2000,1,-1198.0,1,2,2,U,4,0,0
21,4,2,18,1385,1,1596,1,50,3,1235.0,1,1,1,K,G,0,0
21,4,2,19,906,1,849,1,1000,4,-94.0,2,1,2,6,A,0,0
21,4,2,20,1270,1,1198,1,450,1,820.0,1,2,2,G,2,0,0
21,4,2,21,723,1,626,1,1000,1,-277.0,1,2,2,M,9,0,0
21,4,2,22,681,1,928,1,2000,4,-1319.0,2,1,2,3,M,0,0
21,4,2,23,722,1,713,1,1000,2,-278.0,2,2,1,2,1,0,0
21,4,2,24,1443,1,1394,1,450,2,993.0,2,2,1,7,1,0,0
21,4,2,25,1159,1,1077,1,450,3,709.0,1,1,1,M,R,0,0
21,4,2,26,777,1,688,1,2000,2,-1223.0,2,2,1,6,3,0,0
21,4,2,27,1146,1,1440,1,50,4,996.0,2,1,2,1,K,0,0
21,4,2,28,993,1,903,1,450,4,543.0,2,1,2,1,M,0,0
21,4,2,29,898,1,609,1,2000,3,-1102.0,1,1,1,A,R,0,0
21,4,2,30,1687,1,2188,1,50,1,1537.0,1,2,2,R,8,0,0
21,4,2,31,680,1,776,1,2000,1,-1320.0,1,2,2,E,1,0,0
21,4,2,32,641,1,960,1,2000,4,-1359.0,2,1,2,2,U,0,0
21,4,2,33,1401,1,1000,1,1000,2,401.0,2,2,1,2,3,0,0
21,4,2,34,606,1,768,1,450,1,156.0,1,2,2,A,7,0,0
21,4,2,35,684,1,675,1,1000,1,-316.0,1,2,2,A,3,0,0
21,4,2,36,1391,1,1535,1,50,3,1241.0,1,1,1,M,E,0,0
21,4,2,37,1417,1,1390,1,450,1,967.0,1,2,2,K,1,0,0
21,4,2,38,996,1,765,1,450,2,546.0,2,2,1,7,9,0,0
21,4,2,39,730,1,721,1,1000,3,-270.0,1,1,1,I,R,0,0
21,4,2,40,812,1,787,1,2000,2,-1188.0,2,2,1,8,7,0,0
21,4,2,41,762,1,815,1,50,2,612.0,2,2,1,9,3,0,0
21,4,2,42,594,1,825,1,1000,4,-406.0,2,1,2,9,A,0,0
21,4,2,43,615,1,886,1,50,4,465.0,2,1,2,2,I,0,0
21,4,2,44,772,1,731,1,2000,3,-1228.0,1,1,1,G,I,0,0
21,4,2,45,1094,1,789,1,2000,4,-906.0,2,1,2,9,U,0,0
21,4,2,46,846,1,748,1,2000,1,-1154.0,1,2,2,U,9,0,0
21,4,2,47,1012,1,1201,1,50,1,862.0,1,2,2,I,9,0,0
21,4,2,48,612,1,797,1,450,3,162.0,1,1,1,K,R,0,0
21,4,2,49,864,1,1111,1,50,3,714.0,1,1,1,M,K,0,0
21,4,2,50,555,1,733,1,450,3,105.0,1,1,1,M,A,0,0
21,4,2,51,963,1,706,1,2000,2,-1037.0,2,2,1,9,6,0,0
21,4,2,52,572,1,894,1,450,2,122.0,2,2,1,3,7,0,0
21,4,2,53,685,1,659,1,1000,3,-315.0,1,1,1,A,E,0,0
21,4,2,54,945,1,632,1,2000,3,-1055.0,1,1,1,M,U,0,0
21,4,2,55,623,1,582,1,1000,3,-377.0,1,1,1,E,U,0,0
21,4,2,56,1518,1,749,1,2000,1,-482.0,1,2,2,G,6,0,0
21,4,2,57,701,1,895,1,50,2,551.0,2,2,1,7,3,0,0
21,4,2,58,730,1,649,1,1000,1,-270.0,1,2,2,A,2,0,0
21,4,2,59,679,1,718,1,1000,4,-321.0,2,1,2,1,R,0,0
21,4,2,60,1207,1,765,1,1000,2,207.0,2,2,1,2,7,0,0
21,4,2,61,718,1,900,1,450,4,268.0,2,1,2,1,I,0,0
21,4,2,62,2045,1,2170,1,50,4,1895.0,2,1,2,7,M,0,0
21,4,2,63,1488,0,951,1,2000,3,-512.0,1,1,1,A,G,0,0
21,4,2,64,1071,1,897,1,450,4,621.0,2,1,2,8,A,0,0
21,4,2,65,1143,1,1506,1,50,1,993.0,1,2,2,R,2,0,0
21,5,2,1,653,1,771,1,2000,4,-1347.0,2,1,2,3,I,0,0
21,5,2,2,747,1,869,1,450,1,297.0,1,2,2,M,2,0,0
21,5,2,3,805,1,781,1,2000,1,-1195.0,1,2,2,G,8,0,0
21,5,2,4,996,1,989,1,450,1,546.0,1,2,2,R,4,0,0
21,5,2,5,1800,1,1621,1,450,3,1350.0,1,1,1,G,K,0,0
21,5,2,6,771,1,856,1,50,1,621.0,1,2,2,E,2,0,0
21,5,2,7,960,1,1123,1,50,3,810.0,1,1,1,U,R,0,0
21,5,2,8,844,1,732,1,2000,2,-1156.0,2,2,1,6,3,0,0
21,5,2,9,998,1,700,1,1000,4,-2.0,2,1,2,3,R,0,0
21,5,2,10,1071,1,816,1,450,3,621.0,1,1,1,G,M,0,0
21,5,2,11,1946,1,2236,1,450,4,1496.0,2,1,2,3,A,0,0
21,5,2,12,797,1,899,1,50,2,647.0,2,2,1,2,7,0,0
21,5,2,13,1034,1,585,1,2000,3,-966.0,1,1,1,A,K,0,0
21,5,2,14,785,1,696,1,1000,1,-215.0,1,2,2,K,7,0,0
21,5,2,15,908,1,579,1,2000,4,-1092.0,2,1,2,4,K,0,0
21,5,2,16,563,1,867,1,450,1,113.0,1,2,2,I,1,0,0
21,5,2,17,781,1,603,1,1000,2,-219.0,2,2,1,6,7,0,0
21,5,2,18,794,1,945,1,1000,1,-206.0,1,2,2,M,4,0,0
21,5,2,19,588,1,699,1,1000,4,-412.0,2,1,2,1,G,0,0
21,5,2,20,901,1,819,1,450,2,451.0,2,2,1,8,4,0,0
21,5,2,21,1016,1,1104,0,50,1,866.0,1,2,2,A,1,0,0
21,5,2,22,1724,1,2020,1,50,2,1574.0,2,2,1,4,7,0,0
21,5,2,23,1275,1,786,1,1000,2,275.0,2,2,1,6,4,0,0
21,5,2,24,937,1,1053,1,50,3,787.0,1,1,1,M,G,0,0
21,5,2,25,1013,1,767,1,450,2,563.0,2,2,1,1,3,0,0
21,5,2,26,1618,1,1677,1,50,4,1468.0,2,1,2,4,I,0,0
21,5,2,27,671,1,624,1,450,4,221.0,2,1,2,4,U,0,0
21,5,2,28,827,1,626,1,1000,3,-173.0,1,1,1,A,U,0,0
21,5,2,29,1672,1,1878,1,50,4,1522.0,2,1,2,2,G,0,0
21,5,2,30,606,1,837,1,2000,4,-1394.0,2,1,2,3,U,0,0
21,5,2,31,755,1,611,1,2000,2,-1245.0,2,2,1,2,4,0,0
21,5,2,32,784,1,778,1,50,2,634.0,2,2,1,3,7,0,0
21,5,2,33,1009,1,838,1,450,3,559.0,1,1,1,R,E,0,0
21,5,2,34,820,1,812,1,2000,1,-1180.0,1,2,2,E,9,0,0
21,5,2,35,786,1,577,0,1000,4,-214.0,2,1,2,7,E,0,0
21,5,2,36,1008,1,877,1,450,4,558.0,2,1,2,6,K,0,0
21,5,2,37,2049,1,655,1,2000,3,49.0,1,1,1,K,R,0,0
21,5,2,38,678,1,733,1,1000,2,-322.0,2,2,1,2,8,0,0
21,5,2,39,607,1,663,1,2000,2,-1393.0,2,2,1,7,1,0,0
21,5,2,40,571,1,779,1,2000,4,-1429.0,2,1,2,7,R,0,0
21,5,2,41,611,1,666,1,450,1,161.0,1,2,2,K,3,0,0
21,5,2,42,685,1,628,1,2000,1,-1315.0,1,2,2,M,9,0,0
21,5,2,43,770,1,1238,1,50,1,620.0,1,2,2,E,1,0,0
21,5,2,44,872,1,730,1,450,2,422.0,2,2,1,4,2,0,0
21,5,2,45,663,1,558,1,1000,1,-337.0,1,2,2,I,2,0,0
21,5,2,46,783,1,920,1,50,3,633.0,1,1,1,I,M,0,0
21,5,2,47,906,1,753,1,1000,3,-94.0,1,1,1,M,K,0,0
21,5,2,48,698,1,1106,1,2000,3,-1302.0,1,1,1,E,R,0,0
21,5,2,49,972,1,1146,1,50,3,822.0,1,1,1,R,A,0,0
21,5,2,50,679,1,654,1,1000,4,-321.0,2,1,2,9,R,0,0
21,5,2,51,1147,1,1093,1,450,1,697.0,1,2,2,R,9,0,0
21,5,2,52,556,1,603,1,2000,2,-1444.0,2,2,1,9,7,0,0
21,5,2,53,578,1,762,1,450,3,128.0,1,1,1,E,K,0,0
21,5,2,54,856,1,655,1,1000,3,-144.0,1,1,1,I,G,0,0
21,5,2,55,771,1,840,1,50,1,621.0,1,2,2,E,2,0,0
21,5,2,56,881,1,1167,1,50,4,731.0,2,1,2,6,G,0,0
21,5,2,57,681,1,692,1,450,2,231.0,2,2,1,7,8,0,0
21,5,2,58,594,1,994,1,2000,1,-1406.0,1,2,2,E,8,0,0
21,5,2,59,633,1,773,1,450,3,183.0,1,1,1,G,A,0,0
21,5,2,60,1069,1,630,1,1000,2,69.0,2,2,1,6,2,0,0
21,5,2,61,889,1,912,1,50,2,739.0,2,2,1,3,2,0,0
21,5,2,62,734,1,708,1,2000,4,-1266.0,2,1,2,6,R,0,0
21,5,2,63,944,1,591,1,1000,3,-56.0,1,1,1,G,R,0,0
21,5,2,64,630,1,768,1,450,4,180.0,2,1,2,3,E,0,0
21,5,2,65,747,1,793,1,50,4,597.0,2,1,2,3,U,0,0
22,1,1,1,1938,1,3713,1,2000,4,-62.0,2,1,2,7,G,0,0
22,1,1,2,2765,1,8016,1,450,2,2315.0,2,2,1,8,9,0,0
22,1,1,3,3377,1,5717,1,50,1,3227.0,1,2,2,U,8,0,0
22,1,1,4,6853,1,11771,0,50,3,6703.0,1,1,1,U,A,0,0
22,1,1,5,2345,1,4660,1,1000,2,1345.0,2,2,1,8,3,0,0
22,1,1,6,1654,1,2521,1,1000,4,654.0,2,1,2,8,M,0,0
22,1,1,7,6615,1,8141,1,2000,1,4615.0,1,2,2,R,6,0,0
22,1,1,8,2153,1,3003,0,1000,3,1153.0,1,1,1,G,I,0,0
22,1,1,9,1743,0,2374,0,450,4,1293.0,2,1,2,3,U,0,0
22,1,1,10,1558,1,2573,1,2000,2,-442.0,2,2,1,1,9,0,0
22,1,1,11,2669,1,2726,0,450,3,2219.0,1,1,1,K,I,0,0
22,1,1,12,2884,1,4036,1,1000,1,1884.0,1,2,2,I,3,0,0
22,1,1,13,3970,1,3044,1,2000,3,1970.0,1,1,1,E,M,0,0
22,1,1,14,2287,1,5228,1,50,2,2137.0,2,2,1,1,6,0,0
22,1,1,15,1799,1,2362,1,450,1,1349.0,1,2,2,G,4,0,0
22,1,1,16,2268,1,3863,1,50,4,2118.0,2,1,2,4,A,0,0
22,1,1,17,1931,1,947,1,2000,1,-69.0,1,2,2,I,2,0,0
22,1,1,18,1660,1,2191,1,50,3,1510.0,1,1,1,A,R,0,0
22,1,1,19,1702,1,1221,1,2000,4,-298.0,2,1,2,6,A,0,0
22,1,1,20,996,1,1084,1,2000,2,-1004.0,2,2,1,6,4,0,0
22,1,1,21,926,1,1465,1,50,4,776.0,2,1,2,7,E,0,0
22,1,1,22,829,1,2532,1,1000,2,-171.0,2,2,1,1,3,0,0
22,1,1,23,2054,1,2287,1,450,1,1604.0,1,2,2,R,9,0,0
22,1,1,24,720,1,847,1,2000,3,-1280.0,1,1,1,K,M,0,0
22,2,2,1,1861,1,2321,1,50,2,1711.0,2,2,1,3,9,0,0
22,2,2,2,1464,1,1814,1,50,1,1314.0,1,2,2,E,2,0,0
22,2,2,3,744,1,838,1,450,2,294.0,2,2,1,7,8,0,0
22,2,2,4,826,0,1217,1,1000,3,-174.0,1,1,1,E,R,0,0
22,2,2,5,760,1,1047,1,1000,1,-240.0,1,2,2,K,1,0,0
22,2,2,6,830,1,1101,1,2000,1,-1170.0,1,2,2,E,9,0,0
22,2,2,7,865,0,1088,0,1000,4,-135.0,2,1,2,6,M,0,0
22,2,2,8,932,1,875,1,1000,2,-68.0,2,2,1,1,7,0,0
22,2,2,9,775,1,944,1,50,2,625.0,2,2,1,7,3,0,0
22,2,2,10,888,1,1331,1,450,4,438.0,2,1,2,7,I,0,0
22,2,2,11,1047,1,1178,1,450,3,597.0,1,1,1,U,M,0,0
22,2,2,12,685,1,597,1,2000,4,-1315.0,2,1,2,7,R,0,0
22,2,2,13,708,1,873,1,450,4,258.0,2,1,2,9,I,0,0
22,2,2,14,950,1,1095,1,50,1,800.0,1,2,2,K,6,0,0
22,2,2,15,603,1,1074,1,2000,3,-1397.0,1,1,1,K,G,0,0
22,2,2,16,1038,1,920,1,450,2,588.0,2,2,1,2,4,0,0
22,2,2,17,655,1,1285,1,1000,4,-345.0,2,1,2,1,G,0,0
22,2,2,18,674,1,513,0,1000,1,-326.0,1,2,2,M,1,0,0
22,2,2,19,532,1,544,1,450,1,82.0,1,2,2,R,4,0,0
22,2,2,20,923,1,562,1,2000,2,-1077.0,2,2,1,4,8,0,0
22,2,2,21,844,1,675,1,1000,1,-156.0,1,2,2,R,1,0,0
22,2,2,22,728,1,503,1,2000,1,-1272.0,1,2,2,A,2,0,0
22,2,2,23,785,1,1372,1,50,3,635.0,1,1,1,A,G,0,0
22,2,2,24,690,1,1272,1,50,4,540.0,2,1,2,1,U,0,0
22,2,2,25,957,1,921,1,450,3,507.0,1,1,1,M,U,0,0
22,2,2,26,519,1,621,1,1000,3,-481.0,1,1,1,R,E,0,0
22,2,2,27,955,1,789,1,450,1,505.0,1,2,2,K,7,0,0
22,2,2,28,735,1,1129,1,50,1,585.0,1,2,2,U,9,0,0
22,2,2,29,1673,1,927,1,1000,4,673.0,2,1,2,2,M,0,0
22,2,2,30,698,1,881,0,50,2,548.0,2,2,1,2,1,0,0
22,2,2,31,815,1,590,1,1000,2,-185.0,2,2,1,7,2,0,0
22,2,2,32,622,1,704,1,450,2,172.0,2,2,1,3,4,0,0
22,2,2,33,702,1,1024,1,50,3,552.0,1,1,1,R,M,0,0
22,2,2,34,588,1,748,1,2000,3,-1412.0,1,1,1,A,E,0,0
22,2,2,35,934,1,517,1,2000,2,-1066.0,2,2,1,2,9,0,0
22,2,2,36,880,1,495,1,1000,2,-120.0,2,2,1,4,6,0,0
22,2,2,37,1010,1,1033,1,450,3,560.0,1,1,1,U,G,0,0
22,2,2,38,742,1,453,1,1000,3,-258.0,1,1,1,G,K,0,0
22,2,2,39,1122,1,490,1,2000,2,-878.0,2,2,1,9,7,0,0
22,2,2,40,653,1,843,1,450,1,203.0,1,2,2,U,7,0,0
22,2,2,41,590,1,999,1,50,2,440.0,2,2,1,3,1,0,0
22,2,2,42,767,1,678,1,1000,1,-233.0,1,2,2,U,2,0,0
22,2,2,43,803,0,570,1,2000,3,-1197.0,1,1,1,A,U,0,0
22,2,2,44,787,1,491,1,2000,1,-1213.0,1,2,2,E,7,0,0
22,2,2,45,1167,1,718,1,2000,4,-833.0,2,1,2,4,K,0,0
22,2,2,46,560,1,686,1,450,4,110.0,2,1,2,8,U,0,0
22,2,2,47,385,1,503,0,450,2,-65.0,2,2,1,4,3,0,0
22,2,2,48,593,1,552,1,1000,3,-407.0,1,1,1,M,E,0,0
22,2,2,49,609,1,716,1,50,1,459.0,1,2,2,R,2,0,0
22,2,2,50,724,1,596,0,50,2,574.0,2,2,1,2,3,0,0
22,2,2,51,644,1,687,1,50,4,494.0,2,1,2,1,R,0,0
22,2,2,52,648,1,523,1,450,3,198.0,1,1,1,R,U,0,0
22,2,2,53,552,1,503,1,1000,4,-448.0,2,1,2,2,I,0,0
22,2,2,54,523,1,538,1,2000,1,-1477.0,1,2,2,R,8,0,0
22,2,2,55,611,1,671,1,50,3,461.0,1,1,1,M,A,0,0
22,2,2,56,536,0,527,0,450,4,86.0,2,1,2,4,U,0,0
22,2,2,57,606,1,749,1,1000,1,-394.0,1,2,2,U,3,0,0
22,2,2,58,663,1,534,1,2000,4,-1337.0,2,1,2,7,K,0,0
22,2,2,59,624,1,656,1,2000,2,-1376.0,2,2,1,7,1,0,0
22,2,2,60,740,1,860,1,50,4,590.0,2,1,2,9,M,0,0
22,2,2,61,570,1,321,0,1000,4,-430.0,2,1,2,1,I,0,0
22,2,2,62,875,1,1020,1,50,4,725.0,2,1,2,6,E,0,0
22,2,2,63,539,1,642,1,2000,3,-1461.0,1,1,1,M,G,0,0
22,2,2,64,984,1,1020,1,450,3,534.0,1,1,1,R,G,0,0
22,2,2,65,585,1,504,1,450,2,135.0,2,2,1,9,2,0,0
22,3,2,1,559,1,454,1,1000,2,-441.0,2,2,1,7,4,0,0
22,3,2,2,602,1,489,1,450,2,152.0,2,2,1,1,2,0,0
22,3,2,3,610,1,641,1,450,4,160.0,2,1,2,4,I,0,0
22,3,2,4,702,1,557,1,1000,3,-298.0,1,1,1,K,E,0,0
22,3,2,5,630,1,725,1,2000,2,-1370.0,2,2,1,4,1,0,0
22,3,2,6,1015,0,899,0,450,1,565.0,1,2,2,G,1,0,0
22,3,2,7,776,1,526,1,2000,4,-1224.0,2,1,2,1,K,0,0
22,3,2,8,824,1,896,0,50,4,674.0,2,1,2,9,U,0,0
22,3,2,9,731,1,786,1,50,1,581.0,1,2,2,M,3,0,0
22,3,2,10,731,1,1210,1,50,2,581.0,2,2,1,8,1,0,0
22,3,2,11,874,1,867,1,50,3,724.0,1,1,1,K,R,0,0
22,3,2,12,720,1,936,1,450,1,270.0,1,2,2,E,3,0,0
22,3,2,13,743,1,766,1,1000,3,-257.0,1,1,1,A,I,0,0
22,3,2,14,871,1,542,1,2000,4,-1129.0,2,1,2,8,I,0,0
22,3,2,15,799,1,642,1,450,4,349.0,2,1,2,7,M,0,0
22,3,2,16,793,1,448,1,1000,2,-207.0,2,2,1,8,2,0,0
22,3,2,17,510,1,558,1,2000,3,-1490.0,1,1,1,R,I,0,0
22,3,2,18,719,1,1026,1,50,1,569.0,1,2,2,E,1,0,0
22,3,2,19,846,1,637,1,1000,4,-154.0,2,1,2,3,E,0,0
22,3,2,20,690,1,582,1,450,4,240.0,2,1,2,9,A,0,0
22,3,2,21,984,1,671,1,2000,2,-1016.0,2,2,1,8,4,0,0
22,3,2,22,596,1,404,1,1000,2,-404.0,2,2,1,2,6,0,0
22,3,2,23,427,1,521,1,2000,1,-1573.0,1,2,2,M,4,0,0
22,3,2,24,508,1,955,1,1000,1,-492.0,1,2,2,R,3,0,0
22,3,2,25,988,1,1785,1,50,1,838.0,1,2,2,I,7,0,0
22,3,2,26,765,1,704,1,450,2,315.0,2,2,1,6,2,0,0
22,3,2,27,1036,1,892,1,450,3,586.0,1,1,1,U,R,0,0
22,3,2,28,828,1,1176,1,50,2,678.0,2,2,1,9,3,0,0
22,3,2,29,758,1,749,1,1000,4,-242.0,2,1,2,6,K,0,0
22,3,2,30,1702,1,1897,1,50,4,1552.0,2,1,2,3,I,0,0
22,3,2,31,2537,1,3190,1,50,3,2387.0,1,1,1,E,K,0,0
22,3,2,32,1100,1,1026,1,2000,4,-900.0,2,1,2,3,R,0,0
22,3,2,33,936,1,896,1,450,1,486.0,1,2,2,G,6,0,0
22,3,2,34,1136,1,1184,1,450,3,686.0,1,1,1,I,G,0,0
22,3,2,35,1069,1,502,1,1000,3,69.0,1,1,1,A,K,0,0
22,3,2,36,927,1,566,1,2000,3,-1073.0,1,1,1,G,U,0,0
22,3,2,37,854,1,891,1,50,3,704.0,1,1,1,G,E,0,0
